Paper,Date,Prompt,,Duration (Seconds),Tokens (Words),Opening (Who starts speaking)
A Journey Through the Land of DAAP,04.07.2025,Focus on the importance of the topic,,850.84,3121,woman
Advancing AI Validation for Radiography through Reference Standards,02.07.2025,Focus on the importance of the topic,,1113.92,4016,woman 
AI in Education_ Trends and Challenges 2010-2020,02.07.2025,Default,,865.84,3089,woman
AI in Healthcare_ A Governance Model,02.07.2025,Discuss the limitations of the study,,788.48,2835,woman
"AI, Speech, and Language for Monitoring Alzheimer's Disease",04.07.2025,Explain the topic to the new audience,,1168.88,4224,woman
AI-Based Speech Therapy Tools for Speech Sound Disorders,04.07.2025,Explain the topic to the new audience,,842.48,2990,woman
Asymptomatic Malaria Burden in Northwest Tanzania,04.07.2025,Focus on the background research,,869.28,3157,woman
Aymara Evidentiality and Discourse_ =wa vs_ -∅,04.07.2025,Summirize the paper,,884.44,3312,man
"Bilinguals, Evidentiality, and Machine Translation Preference",03.07.2025,Summirize the paper,,1063.44,3831,man
British and American Phonological Systems in Speech Errors,20.06.2025,Focus on the importance of the topic,,802.92,2953,man
British English Received Pronunciation Guide,02.07.2025,Default,,1060.84,4006,man
ChatGPT_ A Preliminary Review,02.07.2025,Discuss the limitations of the study,,943.84,3444,man
ChatGPT_ Education's Remedy or Challenge_,02.07.2025,Discuss the key points of the paper,,671.64,2461,woman
ChatGPT's Impact on Education_ A Rapid Review,02.07.2025,Discuss the key points of the paper,,956.96,3444,man
Controllable Text-to-Speech_ A Historical and Technical Review,20.06.2025,Explain the topic to the new audience,,1081.68,3814,man
CONVOFUSION_ Conversational Gesture Synthesis with Diffusion Models,04.07.2025,Discuss the focus of the research,,917.96,3277,man
Decoding Deception in Online Reviews_ A Psycholinguistic Approach,03.07.2025,Focus on the importance of the topic,,647.84,2420,woman
Deictic 'This' and Speaker Containment in English,20.06.2025,Default,,968.96,3527,woman
Demonstrative Pronouns and Cognitive Status in Discourse,20.06.2025,Explain the topic to the new audience,,1106.6,4205,man
Detecting AI Voices via Neural Vocoder Artifacts,20.06.2025,Explain the topic to the new audience,,1133.72,4086,woman
Detecting AI-Synthesized Speech Using Bispectral Analysis,02.07.2025,Explain the topic to the new audience,,899.84,3196,man
Detecting AI-Synthesized Speech with Cepstral & Bispectral Statistics,02.07.2025,Explain the topic to the new audience,,813.64,2903,man
Early Morning Mosquito Bites Drive Malaria Transmission,04.07.2025,Focus on the background research,,1020.52,3630,man
EMAGE_ Holistic Co-Speech Gesture Generation via Masked Modeling,04.07.2025,Discuss the focus of the research,,1281.28,4457,man
Epistemic Modality and Evidentiality in Intercultural English Exchanges,04.07.2025,Summirize the paper,,848.12,3126,man
Female Genital Mutilation in Tanzania_ Prevalence and Associated Factors,04.07.2025,Focus on the background research,,551.88,2031,man
Genome Sequencing Strategy_ British Terrestrial Arthropod Fauna,02.07.2025,Focus on the importance of the topic,,1239.64,4375,man
Glottal Consonants and Non-Modal Vowels_ Voicing Variation,02.07.2025,Focus on the results,,893.52,3512,man
HowAIunderstandslanguage,19.09.2024,Default,,339.488,1342,man
Intimate Partner Violence During Pregnancy in Rural Tanzania,04.07.2025,Focus on the background research,,894.8,3260,man
Language Models as Knowledge Bases,02.07.2025,Focus on the results,,998,3661,woman
LLM Retrieval-Augmented Generation for Closed-Source Software,02.07.2025,Discuss the key points of the paper,,700.76,2570,man
LLMLingua-2_ Prompt Compression by Data Distillation,03.07.2025,Focus on the methods presented in the paper,,1282.56,4594,man
Multimodal AI Foundation Models for Earth Observation,03.07.2025,Focus on the methods presented in the paper,,954.68,3503,man
"Occupational Asthma_ Clinical Practice, Diagnosis, and Prognosis",02.07.2025,Focus on the importance of the topic,,931,3391,man
Optimizing Gesture Recognition for Seamless UI Interaction Using CNNs,04.07.2025,Discuss the focus of the research,,1073.24,3837,woman
Psycholinguistics and Personal Value Orientations,03.07.2025,Focus on the importance of the topic,,1035.4,3610,woman
Python's Edge_ Streamlining fNIRS Data Collection,03.07.2025,Discuss what the study has achieved,,950.44,3402,woman
Quantifying Predictability's Role in Automatic Speech Recognition,02.07.2025,Default,,892.88,3352,woman
Reliable Multilingual Test for Visual Attention and Tracking,03.07.2025,Discuss what the study has achieved,,1246.4,4398,woman
Rhoticity: English Class and Sociolinguistic Evolution,16.07.2025,Expain the topic to students who study Linguistics,,747.28,2856,woman
Social Space_ Collaboration Modulates Near_Far Linguistic Coding,20.06.2025,Default,,865.52,3093,woman
"Strengthening Theory, Methods, and Data Links in Research",03.07.2025,Focus on the methods presented in the paper,,1010.12,3509,man
The Functions of Evidentiality_ A Special Issue Introduction,04.07.2025,Summirize the paper,,952.4,3591,woman
Titta_ Tobii Eye Tracking Toolbox for Psychophysics Experiments,03.07.2025,Discuss what the study has achieved,,1346.36,4713,man
Tokenization's Impact on Psycholinguistic Surprisal Measurement,03.07.2025,Focus on the importance of the topic,,819.28,2972,woman
Unsupervised Transfer Learning for Multi-User Hand Gesture Classification,04.07.2025,Discuss the focus of the research,,849.2,3038,man
Vowel Variations for Knowledge-Driven Depression Detection,02.07.2025,Focus on the results,,897.96,3179,woman
Watermarking Large Language Model Output,02.07.2025,Focus on the results,,906.16,3228,woman
WeatherBench 2_ Benchmarking Data-Driven Global Weather Forecasting,03.07.2025,Focus on the methods presented in the paper,,1590.08,5787,man
Zero Resource Speech Challenge 2020_ Unsupervised Learning,02.07.2025,Default,,967.36,3377,woman
